Country,Code,ContinentCode,Year,Gini income inequality index,Poverty percent of population,Public spending on education percent of public spending,Literacy rate,Secondary school enrollment percent of all eligible children,Tertiary school enrollment percent of all eligible children,Globalization index (0-100),Economic globalization index (0-100),Percent of world GDP,Percent of world Foreign Direct Investment,Savings billion USD,International tourism revenue,Kidnappings per 100000 people,Robberies per 100000 people,Number of prisoners per 100000 people,Thefts per 100000 people,Homicides per 100000 people,Military spending in billion U.S. dollars,Cost of living index world average = 100,Education service price index world average = 100
Mexico,MEX,NA,1960,,,,,,,,,,,,,,,,,,0.08,,
Mexico,MEX,NA,1961,,,,,,,,,,,,,,,,,,0.09,,
Mexico,MEX,NA,1962,,,,,,,,,,,,,,,,,,0.1,,
Mexico,MEX,NA,1963,,,,,,,,,,,,,,,,,,0.11,,
Mexico,MEX,NA,1964,,,,,,,,,,,,,,,,,,0.12,,
Mexico,MEX,NA,1965,,,,,,,,,,,,,,,,,,0.12,,
Mexico,MEX,NA,1966,,,,,,,,,,,,,,,,,,0.13,,
Mexico,MEX,NA,1967,,,,,,,,,,,,,,,,,,0.13,,
Mexico,MEX,NA,1968,,,,,,,,,,,,,,,,,,0.15,,
Mexico,MEX,NA,1969,,,,,,,,,,,,,,,,,,0.18,,
Mexico,MEX,NA,1970,,,,,,,43.18,32.25,,,,,,,,,,0.18,,
Mexico,MEX,NA,1971,,,,,21.73,5.32,42.96,32.35,,,,,,,,,,0.19,,
Mexico,MEX,NA,1972,,,,,23.45,5.75,43.18,32.41,,,,,,,,,,0.24,,
Mexico,MEX,NA,1973,,,,,26.19,,43.66,33.34,,,,,,,,,,0.3,,
Mexico,MEX,NA,1974,,,,,28.89,7.67,43.58,33.03,,,,,,,,,,0.41,,
Mexico,MEX,NA,1975,,,,,31.3,9.03,44.05,33.15,,,,,,,,,,0.5,,
Mexico,MEX,NA,1976,,,,,34.98,9.85,44.35,33.61,,,,,,,,,,0.53,,
Mexico,MEX,NA,1977,,,,,37.82,9.71,44.94,34.23,,,,,,,,,,0.44,,
Mexico,MEX,NA,1978,,,,,39.43,10.88,44.73,34.17,,,,,,,,,,0.52,,
