Country,Code,ContinentCode,Year,Economic growth: the rate of change of real GDP,Gross Domestic Product billions of U.S. dollars,GDP per capita current U.S. dollars,GDP per capita Purchasing Power Parity,Capital investment billion USD,Inflation: percent change in the Consumer Price Index,Labor force million people,Unemployment rate,Terms of trade base year = 2000,Government spending billion USD,Government debt as percent of GDP,Rule of law index (-2.5 weak; 2.5 strong),Control of corruption (-2.5 weak; 2.5 strong),Corruption Perceptions Index 100 = no corruption,Competitiveness - World Economic Forum index (0-100),Cost of starting a business % of income per capita,Shadow economy percent of GDP,Population size in millions,Migrant population percent of total population,Health spending per capita
Mexico,MEX,NA,1960,,13.04,345.23,,2.4,4.9,,,,0.74,,,,,,,,37.77,,
Mexico,MEX,NA,1961,5,14.16,363.39,,2.49,1.6,,,,0.81,,,,,,,,38.97,,
Mexico,MEX,NA,1962,4.66,15.2,378.15,,2.5,1.2,,,,0.95,,,,,,,,40.2,,
Mexico,MEX,NA,1963,8.11,16.96,409.05,,3.12,0.6,,,,1.1,,,,,,,,41.46,,
Mexico,MEX,NA,1964,11.91,20.08,469.48,,3.79,2.3,,,,1.28,,,,,,,,42.77,,
Mexico,MEX,NA,1965,7.1,21.84,494.97,,4.42,3.6,,,,1.37,,,,,,,,44.12,,
Mexico,MEX,NA,1966,6.1,24.32,534.27,,4.73,4.2,,,,1.58,,,,,,,,45.52,,
Mexico,MEX,NA,1967,5.85,26.56,565.63,,5.35,3,,,,1.75,,,,,,,,46.96,,
Mexico,MEX,NA,1968,9.42,29.36,606.21,,5.69,2.3,,,,2.01,,,,,,,,48.43,,
Mexico,MEX,NA,1969,3.42,32.48,650.31,,6.39,3.4,,,,2.23,,,,,,,,49.95,,
Mexico,MEX,NA,1970,6.5,35.52,689.79,,8.08,5,,,,2.58,,,,,,,,51.49,,
Mexico,MEX,NA,1971,3.76,39.2,738.56,,7.93,5.5,,,,2.99,,,,,,,,53.08,,
Mexico,MEX,NA,1972,8.23,45.2,826.48,,9.18,4.9,,,,3.9,,,,,,,,54.69,,
Mexico,MEX,NA,1973,7.86,55.28,981.46,,11.82,12.1,,,,5.07,,,,,,,,56.32,,
Mexico,MEX,NA,1974,5.78,72,1242.09,,16.68,23.8,,,,6.58,,,,,,,,57.97,,
Mexico,MEX,NA,1975,5.74,88,1476.31,,20.85,14.9,,,,9.08,,,,,,,,59.61,,
Mexico,MEX,NA,1976,4.42,89.03,1453.67,,19.84,15.8,,,,9.8,,,,,,,,61.24,,
Mexico,MEX,NA,1977,3.39,81.81,1301.32,,18.69,29.1,,,,8.8,,,,,,,,62.87,,
Mexico,MEX,NA,1978,8.96,102.5,1589.27,,24.2,17.5,,,,11.19,,,,,,,,64.49,,
